System State,Events,Expected Next State,Guards,,,,,,,Actions,,,,,,
,,,DFS,VR,AudioHW,PTT_Switch,Mute_Switch,LPSD,CircularBuffer,DFS,VR,AudioHW,PTT_Switch,Mute_Switch,LPSD,CircularBuffer
WAIT_ON_KWD,,,NODE4,STARTED,STREAMING,DONT_CARE,DONT_CARE,DONT_CARE,SAVING,NODE4,STARTED,STREAMING,DONT_CARE,DONT_CARE,DONT_CARE,SAVING
,VR_TRIGGER,WAIT_ON_KWD,,,,,,LPSD_ON,,MIN_NODE4,START,START_STREAMING,,,START_ON,
,VR_TRIGGER,WAIT_ON_LPSD,,,,,,LPSD_OFF,,MIN_NODE3,STOP,START_SAVING,,,START_OFF,
,LPSD_OFF,WAIT_ON_LPSD,,,,,,,,MIN_NODE3,STOP ,START_SAVING,,,START_OFF,
,LPSD_ON,--,,,,,,,,,,,,,,
WAIT_ON_LPSD,,,NODE3,STOPPED,SAVING,DONT_CARE,DONT_CARE,DONT_CARE,SAVING,NODE3,STOPPED,SAVING,DONT_CARE,DONT_CARE,DONT_CARE,SAVING
,LPSD_ON,WAIT_ON_KWD,,,,,,,,MIN_NODE4,START,START_STREAMING,,,START_ON,
,LPSD_OFF,--,,,,,,,,MIN_NODE3,STOP,START_SAVING,,,START_OFF,
CONFIGURED,,,DONT_CARE,STOPPED,STOPPED,DONT_CARE,DONT_CARE,STOPPED,STOPPED,DONT_CARE,STOPPED,STOPPED,DONT_CARE,DONT_CARE,STOPPED,STOPPED
,START,,,,,,,,,MIN_NODE3,,START_SAVING,,,START_OFF,START_SAVING
INITIAL,,,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG
,CONFIG,,,,,,,,,CONFIG,CONFIG,CONFIG,CONFIG,CONFIG,CONFIG,CONFIG
//END OF TABLE,,,,,,,,,,,,,,,,
